scenario,base,type,propensityModelMisspecified,riskModelMisspecified,sampleSize,harm,riskModel,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,g0,g1,g2,c,averageTrueBenefit,averageBenefit
1,risk,constant,true,true,4250,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.04
2,risk,constant,true,true,4250,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.04
3,risk,constant,true,true,4250,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.03
4,risk,constant,true,true,4250,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.03
5,risk,constant,true,true,4250,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.05
6,risk,constant,true,true,4250,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.05
7,risk,constant,true,true,2125,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.04
8,risk,constant,true,true,2125,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.04
9,risk,constant,true,true,2125,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.03
10,risk,constant,true,true,2125,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.03
11,risk,constant,true,true,2125,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.05
12,risk,constant,true,true,2125,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.05
13,risk,constant,true,true,17000,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.04
14,risk,constant,true,true,17000,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.04
15,risk,constant,true,true,17000,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.03
16,risk,constant,true,true,17000,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.03
17,risk,constant,true,true,17000,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.05
18,risk,constant,true,true,17000,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.05
19,risk,constant,true,misspecified,4250,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.04
20,risk,constant,true,misspecified,4250,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.04
21,risk,constant,true,misspecified,4250,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.03
